6006963,1999,14606,1996,"US","MA",,1,,223,6,63,23,0,0.913,,0.6304,,19.2174,,,,,1	
6006970,1999,14606,1998,"US","CA",,1,,224,6,68,9,0,1,,0.3704,,7.6667,,,,,2	
6006977,1999,14606,1997,"US","TX",570160,2,,228,5,52,6,0,1,,0,,5.8333,0.3333,0.3333,,,2	
6006984,1999,14606,1997,"US","OH",,1,,229,6,68,8,0,0.875,,0.2449,,16.375,,,,,3	
6006991,1999,14606,1997,"US","NY",691033,2,,235,5,59,15,0,1,,0.8178,,4.9333,0.0667,0.0667,,,2	
6006998,1999,14606,1998,"FR","",763061,3,,237,6,66,7,0,0.4286,,0.4444,,45.1429,0,0,,,0	
6007005,1999,14606,1999,"US","TX",739254,2,,241,5,51,7,0,1,,0.5714,,5.1429,0,0,,,0	
6007012,1999,14606,1998,"JP","",656611,3,,242,5,51,7,0,1,,0.449,,6.4286,0.4286,0.4286,,,0	
6007019,1999,14606,1998,"US","FL",,1,,242,5,51,6,0,0.8333,,0.32,,13.6667,,,,,0	
6007026,1999,14606,1997,"US","WA",70060,2,,244,5,55,12,0,1,,0.5139,,5.5,0,0,,,0	
6007033,1999,14606,1998,"US","IA",763067,2,,248,6,69,12,0,1,,0.5833,,10.8333,0,0,,,0	
6007040,1999,14606,1998,"JP","",210915,3,,248,6,69,5,0,1,,0.32,,5.8,0,0,,,0	
6007047,1999,14606,1998,"US","TX",,1,,251,5,53,10,0,0.8,,0.2188,,25.7,,,,,3	
6007054,1999,14606,1998,"JP","",169890,3,,254,5,59,7,0,1,,0,,10,0.1429,0.1429,,,0	
6007061,1999,14606,1997,"DE","",333570,3,,267,5,59,6,0,1,,0.7222,,5,0.1667,0.1667,,,0	
6007068,1999,14606,1996,"US","OH",597260,6,,277,6,67,18,0,0.7222,,0.3905,,28.1111,0.1,0.0556,,,1	
6007075,1999,14606,1997,"US","OR",401540,2,,280,5,55,20,0,0.6,,0.1528,,36.3,0,0,,,0	
6007082,1999,14606,1996,"US","CA",,1,,280,5,55,10,0,0.9,,0,,25,,,,,3	
6007089,1999,14606,1998,"DE","",44580,3,,280,5,55,13,0,1,,0.3787,,6.4615,0,0,,,0	
6007096,1999,14606,1998,"US","AZ",589355,2,,280,5,55,8,0,1,,0.75,,14.125,0.125,0.125,,,1	
6007103,1999,14606,1998,"US","WI",,1,,281,6,69,3,0,1,,0.4444,,9.3333,,,,,0	
6007110,1999,14606,1998,"JP","",731723,3,,285,6,67,6,0,1,,0,,15.3333,0,0,,,0	
6007117,1999,14606,1997,"DE","",478430,3,,292,6,69,15,0,0.9333,,0.6429,,17.6,0,0,,,0	
6007124,1999,14606,1997,"US","NY",,1,,294,5,59,17,0,0.7059,,0.7917,,24.5882,,,,,2	
6007131,1999,14606,1997,"US","OH",256400,3,,296,5,55,15,0,1,,0.7556,,7.2,0,0,,,0	
6007138,1999,14606,1997,"US","FL",694651,2,,296,5,55,3,0,1,,0,,7,0,0,,,0	
6007145,1999,14606,1999,"JP","",404330,3,,296,5,55,4,0,1,,0,,6,0,0,,,0	
6007152,1999,14606,1998,"JP","",13995,3,,297,6,65,7,0,1,,0.2449,,5.5714,0.2857,0.2857,,,0	
6007159,1999,14606,1998,"US","IN",395210,2,,303,5,53,8,0,1,,0.7813,,13.875,0,0,,,0	
6007166,1999,14606,1997,"US","OR",763080,2,,305,5,55,10,0,0.9,,0.4938,,25.4,0,0,,,2	
6007173,1999,14606,1996,"US","NY",635240,2,,347,2,23,9,0,1,,0.5185,,10.6667,0.1111,0.1111,,,1	
6007180,1999,14606,1997,"JP","",77725,3,,347,2,23,5,0,1,,0,,4.6,0,0,,,0	
6007187,1999,14606,1996,"JP","",87490,3,,347,2,23,11,0,1,,0,,8,0.5455,0.5455,,,0	
6007194,1999,14606,1996,"JP","",503380,3,,347,2,23,3,0,1,,0.6667,,6.6667,0.3333,0.3333,,,0	
6007201,1999,14606,1998,"JP","",503380,3,,351,3,39,3,0,1,,0,,5.6667,0.3333,0.3333,,,0	
6007208,1999,14606,1997,"US","CA",540885,2,,359,5,54,12,0,1,,0.4028,,4.0833,0,0,,,3	
6007215,1999,14606,1998,"US","LA",,1,,362,4,42,4,0,1,,0.625,,11.5,,,,,0	
6007222,1999,14606,1997,"DE","",152030,2,,362,4,42,26,0,1,,0.5325,,6.6538,0.6111,0.4231,,,0	
6007229,1999,14606,1997,"US","FL",296205,2,,264,5,51,6,0,1,,0.7778,,5.3333,0.3333,0.3333,,,2	
6007236,1999,14606,1996,"US","PA",,1,,366,1,19,37,0,1,,0.8619,,15.0541,,,,,2	
6007243,1999,14606,1998,"US","WI",345180,2,,378,4,44,18,0,0.9444,,0.2145,,12.7778,0,0,,,0	
6007250,1999,14606,1998,"US","CT",581075,2,,384,5,59,7,0,1,,0.6939,,2.4286,0.1429,0.1429,,,0	
6007257,1999,14606,1997,"JP","",212365,3,,385,2,21,5,0,1,,0,,5,0,0,,,0	
6007264,1999,14606,1998,"US","CA",763086,2,,401,1,12,13,0,1,,0.7101,,11.6154,0,0,,,2	
6007271,1999,14606,1998,"US","OH",763088,2,,404,6,69,28,0,0.6786,,0.4266,,26.9286,0,0,,,0	
6007278,1999,14606,1996,"US","MA",597270,6,,408,5,51,6,0,0.8333,,0.32,,29.1667,0,0,,,0	
6007285,1999,14606,1995,"US","NJ",441426,2,,411,5,59,9,0,0.8889,,0.4063,,13.1111,0,0,,,0	
6007292,1999,14606,1998,"US","AZ",,1,,414,5,51,7,0,1,,0.449,,10,,,,,0	
